iter	Passed	Remaining
1571	34991	9526
1572	35012	9504
1573	35034	9482
1574	35055	9459
1575	35077	9436
1576	35098	9414
1577	35119	9392
1578	35141	9369
1579	35163	9347
1580	35190	9326
1581	35213	9304
1582	35234	9281
1583	35262	9260
1584	35285	9238
1585	35308	9216
1586	35331	9194
1587	35354	9172
1588	35378	9150
1589	35400	9128
1590	35424	9106
1591	35447	9084
1592	35470	9062
1593	35493	9040
1594	35515	9017
1595	35536	8995
1596	35559	8973
1597	35581	8951
1598	35604	8929
1599	35626	8906
1600	35648	8884
1601	35672	8862
1602	35696	8840
1603	35717	8818
1604	35739	8795
1605	35760	8773
1606	35781	8750
1607	35803	8728
1608	35825	8705
1609	35846	8683
1610	35867	8660
1611	35889	8638
1612	35910	8615
1613	35932	8593
1614	35954	8571
1615	35975	8548
1616	35998	8526
1617	36022	8504
1618	36045	8482
1619	36076	8462
1620	36104	8441
1621	36127	8419
1622	36150	8397
1623	36174	8375
1624	36197	8353
1625	36221	8331
1626	36246	8309
1627	36270	8287
1628	36293	8265
1629	36318	8244
1630	36341	8221
1631	36366	8200
1632	36390	8178
1633	36412	8156
1634	36436	8134
1635	36475	8115
1636	36500	8093
1637	36523	8071
1638	36547	8049
1639	36569	8027
1640	36592	8005
1641	36614	7982
1642	36639	7961
1643	36664	7939
1644	36688	7917
1645	36710	7895
1646	36734	7873
1647	36757	7851
1648	36780	7829
1649	36804	7806
1650	36828	7785
1651	36880	7768
1652	36914	7749
1653	36949	7729
1654	36985	7709
1655	37008	7687
1656	37029	7665
1657	37050	7642
1658	37071	7619
1659	37093	7597
1660	37115	7575
1661	37137	7552
1662	37160	7530
